歌手名,歌手地区,歌手id,歌手图片
米津玄師 (よねづ けんし),,000LExWa0hMj4m,http://y.gtimg.cn/music/photo_new/T001R150x150M000000LExWa0hMj4m.webp
TFBOYS,,000zmpju02bEBm,http://y.gtimg.cn/music/photo_new/T001R150x150M000000zmpju02bEBm.webp
陈小春,,004DFS271osAwp,http://y.gtimg.cn/music/photo_new/T001R150x150M000004DFS271osAwp.webp
HITA,,00345j1k0ZFXru,http://y.gtimg.cn/music/photo_new/T001R150x150M00000345j1k0ZFXru.webp
EXO (엑소),,001QVwtq3l8cKC,http://y.gtimg.cn/music/photo_new/T001R150x150M000001QVwtq3l8cKC.webp
Martin Garrix (马丁·盖瑞斯),,003gHa6S2vmcbq,http://y.gtimg.cn/music/photo_new/T001R150x150M000003gHa6S2vmcbq.webp
赵英俊,,002sfdNU1f3nHD,http://y.gtimg.cn/music/photo_new/T001R150x150M000002sfdNU1f3nHD.webp
张惠妹,,003JGrNQ3RjelA,http://y.gtimg.cn/music/photo_new/T001R150x150M000003JGrNQ3RjelA.webp
马健涛,,002bRRFq26jMHU,http://y.gtimg.cn/music/photo_new/T001R150x150M000002bRRFq26jMHU.webp
林忆莲,,002u0TJy47WWOj,http://y.gtimg.cn/music/photo_new/T001R150x150M000002u0TJy47WWOj.webp
焦迈奇,,003JE8jQ46n049,http://y.gtimg.cn/music/photo_new/T001R150x150M000003JE8jQ46n049.webp
何鹏,,003yausN2yHNB5,http://y.gtimg.cn/music/photo_new/T001R150x150M000003yausN2yHNB5.webp
贺一航,,001s4BJ92fSpPu,http://y.gtimg.cn/music/photo_new/T001R150x150M000001s4BJ92fSpPu.webp
吴亦凡,,002yeznU3VAVEV,http://y.gtimg.cn/music/photo_new/T001R150x150M000002yeznU3VAVEV.webp
张震岳,,003gA4Y334rnOf,http://y.gtimg.cn/music/photo_new/T001R150x150M000003gA4Y334rnOf.webp
逃跑计划,,001Yxpxc0OaUUX,http://y.gtimg.cn/music/photo_new/T001R150x150M000001Yxpxc0OaUUX.webp
Ed Sheeran (艾德·希兰),,0045p4Sz0LIwL5,http://y.gtimg.cn/music/photo_new/T001R150x150M0000045p4Sz0LIwL5.webp
张芸京,,000acPsp0cfUZr,http://y.gtimg.cn/music/photo_new/T001R150x150M000000acPsp0cfUZr.webp
G-DRAGON (权志龙),,000t2qd13dLpae,http://y.gtimg.cn/music/photo_new/T001R150x150M000000t2qd13dLpae.webp
易烊千玺,,001IoTZp19YMDG,http://y.gtimg.cn/music/photo_new/T001R150x150M000001IoTZp19YMDG.webp
F.I.R.飞儿乐团,,0010PLKl2Wgolz,http://y.gtimg.cn/music/photo_new/T001R150x150M0000010PLKl2Wgolz.webp
Imagine Dragons (梦龙),,003W0GsQ2bAxVU,http://y.gtimg.cn/music/photo_new/T001R150x150M000003W0GsQ2bAxVU.webp
容祖儿,,001uXFgt1kpLyI,http://y.gtimg.cn/music/photo_new/T001R150x150M000001uXFgt1kpLyI.webp
周笔畅,,004HlS192u9J5g,http://y.gtimg.cn/music/photo_new/T001R150x150M000004HlS192u9J5g.webp
李圣杰,,002seUhN1Akj7J,http://y.gtimg.cn/music/photo_new/T001R150x150M000002seUhN1Akj7J.webp
金玟岐,,004OFF5J1uCT1c,http://y.gtimg.cn/music/photo_new/T001R150x150M000004OFF5J1uCT1c.webp
冷漠,,002DF1Lp2C6mEY,http://y.gtimg.cn/music/photo_new/T001R150x150M000002DF1Lp2C6mEY.webp
徐良,,004aRKga0CXIPm,http://y.gtimg.cn/music/photo_new/T001R150x150M000004aRKga0CXIPm.webp
Bruno Mars (布鲁诺·马尔斯),,001F1svH2tTpsC,http://y.gtimg.cn/music/photo_new/T001R150x150M000001F1svH2tTpsC.webp
韩红,,003WlPvN2EvRaj,http://y.gtimg.cn/music/photo_new/T001R150x150M000003WlPvN2EvRaj.webp
永彬Ryan.B,,0023dQD40to8NP,http://y.gtimg.cn/music/photo_new/T001R150x150M0000023dQD40to8NP.webp
Billie Eilish,,0034MZS446AF7O,http://y.gtimg.cn/music/photo_new/T001R150x150M0000034MZS446AF7O.webp
